Date Completed,Item Code,Item Name,Qty.,Serial Number,Asset Code,Ship From,Ship To,Justification
03 January 2017,INS-80131,Tie wraps(Big),1, , ,Abuja Office/Store,PSYNEDGE RESOURCES,Internet Provision and Installations.
03 January 2017,TOL-171099,MST-0JXX00-A0200UM,1, , ,Abuja Office/Store,ZUMA GROUP WEST AFRICA LTD,Being materials needed for FOS at the Zuma Group West Africa for Savanna customer
03 January 2017,INS-80131,Tie wraps(Big),1, , ,Abuja Office/Store,GUDU BST,being the patch cord for the activation of Zuma Group office at Gudu BTS and office. and tie wrap. 
03 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Abuja Office/Store,"SUNNYVALE ESTATE,AB 29 ECOWAS STREET","Replacement of damaged drop cable at AB29, Sunnyvale, Abuja"
03 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Abuja Office/Store,"SUNNYVALE ESTATE,AB 30 ECOWAS STREET",New installation
03 January 2017,TOL-171075,FDH59M1-SC/APC288,1, , ,Abuja Office/Store,SAVANNAH ESTATE,FTTH deployment for savanna estate at Gudu district Abuja.
03 January 2017,CAB-70158,FHD-XJ1A-0200M,1, , ,Ikeja Store,"Fareast Mercantile.721, Adetokunbo Ademola Str VI",Required for restoration of service at the location.
03 January 2017,INS-80119,GP-Y (FTTH Wall Box),2, , ,Ikeja Store,"Fareast Mercantile.721, Adetokunbo Ademola Str VI",Required for restoration of service at the location.
04 January 2017,CAB-70050,2.5MM Power Conductor Cables,40, , ,Port Harcourt Store,TRANS-AMADI BST,Installation of ASNGW and ASNGW2 on Remote Monitoring System
04 January 2017,INS-80119,GP-Y (FTTH Wall Box),1, , ,Ikeja Store,"Dale Olasope.House B4, UPDC Estate Lekki",to be used for restoration of this customer. 
04 January 2017,CAB-70167,FHD-XJ1A-0050M,4, , ,Ikeja Store,"Dale Olasope.House B4 UPDC Estate Lekki, LA ",the four new drop cables are to be used to reactivate the four existing customer on the MST to be replaced at this location
04 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Abuja Office/Store,U13 PINE CRESCENT,Activation of new customer
04 January 2017,CAB-70157,FHD-XJ1A-0100M,1, , ,Abuja Office/Store,SAVANNAH ESTATE,New activation
