S/N,CODE,ITEM DESCRIPTION,UOM,UNIT PRICE,,,
312,TOL-17091,1 x 32 SC/APC splitter,UNIT,146671.44,,,
253,PSU-50045,1.5 KVA APC UPS,UNIT,128750,,,
45,BST-13202,10M  LC-SC SINGLEMODE PATCH CHORD,UNIT,4500,,,
210,INS-80107,10MM Black DC Power cable,UNIT,253.57,,,
213,INS-80110,10MM Red DC Power cable,UNIT,252.02,,,
109,CAB-70155,12 core fiber optic cable,UNIT,153.62,,,
359,TOL-18900,12 port patch panel,UNIT,12000,,,
302,TOL-17076,12mm Top Mount  C-bracket kit,UNIT,3670.21,,,
169,DAT 14008,12U rack(600*450),UNIT,37250,,,
250,PSU 50088,12V 200AH FAG Battery,UNIT,59000,,,
3,BAT 15006,12V/75Ah battery(dry cell),UNIT,26500,,,
4,BAT15005,"12volts,100AH (dry cell battery)",UNIT,18500,,,
182,INS-80032,13Amps Power Plug,UNIT,331.63,,,
214,INS-80111,16MM Black DC Power cable,UNIT,352.68,,,
175,INS-180122,16mm black power cable(flex),UNIT,320,,,
71,CAB-70060,16mm Flex DC black power cable,METRE,369.09,,,
70,CAB-70059,16mm Flex DC red power cable,METRE,345.14,,,
211,INS-80108,16MM Red DC Power cable,UNIT,350.48,,,
356,TOL-1807,18mm Labelling Machine Tape,UNIT,5425,,,
110,CAB-70156,192 CORE FIBRE OPTIC CABLE,UNIT,677.03,,,
72,CAB-70072,1M Patch Cord Yellow,UNIT,248.67,,,
310,TOL-17089,1x4 Splitter for all FDH3000 cabinets (connectoriz,UNIT,28056.9,,,
311,TOL-17090,1x8 Splitter for all FDH3000 cabinets (connectoriz,UNIT,36327.68,,,
346,TOL-1781,1X8 tray-type cabinet splitters,UNIT,20000,,,
121,CAB-80090,"2.5"" flexible conduit pipes",UNIT,350,,,
170,DAT-14005,22U (600M*600M),UNIT,65100,,,
66, ,24 Core Fibre Optic Cable,METRE,156.4,,,
348,TOL-17886,24 port fibre patch Panel with SC Couplers,UNIT,14000,,,
55,CAB-005200,2m SC-SC single mode apc patch cord,UNIT,1700,,,
171,DAT-14007,37U RACK,UNIT,120000,,,
46,CAB-005105,3m LC-SC Multimode Patch Cord,UNIT,2037.04,,,
47,CAB-005106,3m LC-SC Singlemode Patch cords,UNIT,2052.63,,,
48,CAB-005107,3m SC-SC Multimode Patch cord,UNIT,2000,,,
49,CAB-005108,3m SC-SC Singlemode Patch cord,UNIT,2058.82,,,
69,CAB-70056,4 Core Fibre Optic Cable,METRE,70.77,,,
299,TOL-17073,"4"" x 4"" End Cap",UNIT,1619.54,,,
168,DAT 14006,42U(800X1000) Rack,UNIT,210000,,,
189,INS-80057,45*45mm Trunking,UNIT,700,,,
73,CAB-70086,48 Core Aerial Fibre cable,UNIT,323.57,,,
67,CAB-70054,48 Core Fibre Optic Cable,METRE,300,,,
340,TOL-17256,4F2P 4 Fethernet + 2 POTS (ONT OD),UNIT,71255,,,
21,BST-13049,4M Timing GPS-CBL-20,UNIT,22758.41,,,
163,CPE-14015,4M-CPE-IDU-PRO-1D,UNIT,4915.51,,,
18,BST-13033,4M-K2-CPE-PRO-ODU-1D-3.3,UNIT,40038.77,,,
212,INS-80109,4mm Black DC Power cable,UNIT,97,,,
62,CAB-70046,4mm BlackColoured DC Cable,UNIT,275,,,
218,INS-80118,4MM EARTH CABLE,UNIT,97,,,
186,INS-80047,4mm Earth Cable Lug,UNIT,25,,,
63,CAB-70047,4mm RedColoured DC Cable,UNIT,97,,,
245,OFE-00200,4u Mega Telecoms rack,UNIT,18000,,,
190,INS-80058,50*50mm Trunking,UNIT,900,,,
252,PSU-50037,50A DC Breaker,UNIT,3300,,,
50,CAB-005109,5m LC-SC Multimode Patch cord,UNIT,2400,,,
51,CAB-005110,5m LC-SC Singlemode patch cord,UNIT,2485.11,,,
53,CAB-005112,5m SC-SC Multimode Patch cords,UNIT,2400,,,
54,CAB-005113,5m SC-SC Singlemode patch cord,UNIT,2400,,,
220,INS-80122,600X450MM(H/D) Manhole cover&frame with locknut,UNIT,52500,,,
221,INS-80124,600X600MM(M/D)Manhole cover&frame with locknut,UNIT,49875,,,
184,INS-80039,6Ft Earth Rod (Copper),UNIT,3200,,,
187,INS-80048,6mm Cable Lug,UNIT,30.35,,,
181,INS-80028,6mm Earthing Cable,UNIT,150,,,
172,INS-00242,6mm Flexible DC Power Cable(BLACK),UNIT,503.52,,,
173,INS-00251,6mm Flexible DC Power Cable(RED),UNIT,397.12,,,
354,TOL-1805,6mm Labelling Machine Tape,UNIT,4200,,,
246,OFE-00222,6U Rack,UNIT,21000,,,
303,TOL-17079,8 PORT MST WITH SPLITTER With Dielectric Cable 210,UNIT,120000.23,,,
52,CAB-005111,8m SC-SC singlemode patchcord,UNIT,2230,,,
1,ANT-10142,901-R710-WW00(WIRELESS ACCESS POINT),UNIT,136429.08,,,
120,CAB-70215,96 core Aerial fibre cable,UNIT,400,,,
68,CAB-70055,96 Core Fibre Optic Cable,METRE,357.72,,,
355,TOL-1806,9mm Labelling Machine Tape,UNIT,3196.15,,,
204,INS-80094,"Adjustable straight poles(Casted)2"" pipe 15ft",UNIT,12000,,,
203,INS-80093,"Adjustable straight poles(wall mountd)2"" 10ft",UNIT,18800,,,
264,RAD-20098,Am-2-13-A,UNIT,269298.63,,,
266,RAD-20108,Am-2-15-A -2' Antenna,UNIT,246705.37,,,
268,RAD-20115,Am-4-13-A-4' Antenna Crgn&Stnd UBR140 Int Andrew,UNIT,397475.94,,,
20,BST-13043,"ANT, BS 3.3-3 .8GHz, DS, Sec. 65 deg, 16.5dBi",UNIT,83049.84,,,
259,PSU-50082,APC Standalone Ethernet Surge Protector,UNIT,5447.76,,,
249,OFE-30014,AT7162PR,UNIT,13903.56,,,
327,TOL-17161,BG 30 EMB V13.5 CF NVM KIT,UNIT,16077.45,,,
167,CPE-14O14,Biscuit CPE,UNIT,23712,,,
14,BST-13022,BMax 4M AU 4CH,UNIT,705170.93,,,
12,BST-13020,BMAX 4M NPU,UNIT,1241959.07,,,
19,BST-13040,BMAX CPE-IDU-DV-FT-ID2V-BAT,UNIT,20605.51,,,
13,BST-13021,BMAX-4M-PIU,UNIT,93932.04,,,
11,BST-13019,BMAX-BST-PSU,UNIT,78354.81,,,
16,BST-13024,BMAX-Timing GPS-OGR,UNIT,268224.14,,,
328,TOL-17170,BRK 5.0A 80VDC,UNIT,5941.67,,,
27,BST-13067,C.BRK 55A 80VDC,UNIT,- ,,,
180,INS-80025,cable  lug (35mm),UNIT,80,,,
101,CAB-70122,Cable Clip 10 mm,UNIT,337.93,,,
201,INS-80090,Cable Lug (10mm),UNIT,300,,,
179,INS-80017,CABLE LUG (16MM),UNIT,24.92,,,
188,INS-80055,"Cable Trunk (Regular Cylindrical) 1 Inch * 1/2""",UNIT,200,,,
278,TEL-10024,Caller ID phone(CT-CID326),UNIT,1197.02,,,
308,TOL-17087,Cassettes of 4 trays of 12FO each,UNIT,1858.95,,,
58,CAB-70033,CAT5 Shielded,UNIT,99.41,,,
64,CAB-70051,Cat5 Unshielded,UNIT,80.33,,,
127,CIS-18042,Cat5 UTP Crossed,UNIT,450,,,
106,CAB-70141,CAT6  1.5m patch Cords,UNIT,600,,,
61,CAB-70045,CAT6 Shielded Cable,UNIT,204.78,,,
25,BST-13063,CFU-F152,UNIT,304160.22,,,
260,PSU-50083,CIRCUIT BREAKER 40A,UNIT,3100,,,
261,PSU-50084,CIRCUIT BREAKER 6A,UNIT,2500,,,
123,CIS- 18095,CISCO 1841 Router,UNIT,15720,,,
143,CIS-60084,Cisco 1921/k9,UNIT,173925,,,
138,CIS-60052,Cisco 2821w/AC,UNIT,54901.66,,,
124,CIS-10201,CISCO 2921-SEC/K9,UNIT,389000,,,
126,CIS-180111,Cisco 2960TTL Switch-24 port,UNIT,230000,,,
140,CIS-60058,Cisco 7600 SIP-600,UNIT,1014530.22,,,
149,CIS-60095,Cisco 7600-SIP-400,UNIT,289865.78,,,
148,CIS-60092,Cisco 7606-S Chasis,UNIT,699301.19,,,
125,CIS-180024,CISCO 7911G TELEPHONE,UNIT,33131.25,,,
131,CIS-18140,CISCO HWIC-D-9ESW,UNIT,43065.76,,,
128,CIS-18090,CISCO INTERFACE CARD HWIC-4ESW,UNIT,114250,,,
133,CIS-600200,Cisco WS-C2960S - 48LPS -L,UNIT,560000,,,
130,CIS-18130,CISCO WS-C3560- 24TS,UNIT,128325,,,
155,COL-60083,Cisco WS-C3750E-48PD-S,UNIT,432039.78,,,
147,CIS-60091,Cisco X2-10GB-SR,UNIT,25974.34,,,
238,OFE-00080,Computer Earphone S1 with two Earpiece,UNIT,161.19,,,
193,INS-80061,Concrete Bolts,UNIT,238.46,,,
344,TOL-1771,Concrete Nail,UNIT,500,,,
197,INS-80066,Connector,UNIT,20,,,
24,BST-13061,Cord FOP LC/LC SM D2.0 3.0M,UNIT,1401.66,,,
361,TOL-202112,Corrugated Optic Duct,UNIT,1780,,,
284,TOL-13001,Creosote wooden pole 11m,UNIT,43578.02,,,
283,TOL-13000,Creosote wooden pole 8m,UNIT,30353.43,,,
191,INS-80059,Crocodile Clip,UNIT,339.58,,,
192,INS-80060,Crocodile Nail,UNIT,60,,,
199,INS-80088,DC Power Cable 6mm (Black),UNIT,150,,,
200,INS-80089,DC Power Cable 6mm (Red),UNIT,150,,,
232,OFE-00059,DELL TAPE CATRIDGE,UNIT,8049,,,
231,OFE-00001,Desktop PC,UNIT,159000,,,
151,COL-12013,DIESEL,UNIT,237.07,,,
313,TOL-171072,DLX-OPT-CONV-25,UNIT,536.2,,,
335,TOL-17231,DMGE_4_L1,UNIT,176851.94,,,
198,INS-80087,Earth Cable (10mm),UNIT,283.89,,,
185,INS-80046,EARTH CABLE 16MM,UNIT,400,,,
217,INS-80116,EARTHING KIT FOR LMR400,UNIT,1500,,,
330,TOL-17189,ECI ONT(Y33591),UNIT,16914.26,,,
296,TOL-17070,End guard for the FOTIMP,UNIT,95948.86,,,
17,BST-13026,Equipment Shelter,UNIT,4000000,,,
300,TOL-17074,Express exit,UNIT,29363.94,,,
157,CON-90006,F - Type Connector,UNIT,200,,,
362,INS-80230,FACE-PLATE,UNIT,353.73,,,
316,TOL-171075,FDH59M1-SC/APC288,UNIT,632199.51,,,
345,TOL-17780,FDSC-SHTH-REP-24,UNIT,18000.76,,,
315,TOL-171074,FHD-ACC-CLAMP910,UNIT,625.31,,,
118,CAB-70167,FHD-XJ1A-0050M,UNIT,26370.48,,,
117,CAB-70165,FHD-XJ1A-0075M,UNIT,32548.59,,,
111,CAB-70157,FHD-XJ1A-0100M,UNIT,37291.55,,,
116,CAB-70162,FHD-XJ1A-0125M,UNIT,50420.18,,,
319,TOL-171092,FHD-XJ1A-0150M,UNIT,48112.69,,,
115,CAB-70161,FHD-XJ1A-0175M,UNIT,53523.26,,,
112,CAB-70158,FHD-XJ1A-0200M,UNIT,58933.83,,,
113,CAB-70159,FHD-XJ1A-0250M,UNIT,69795.84,,,
114,CAB-70160,FHD-XJ1A-0300M,UNIT,80570.99,,,
309,TOL-17088,"Fiber Splitter Box (FSB32) (Fiber splitter box, in",UNIT,132706.92,,,
305,TOL-17084,Fibre Closure (Splice Case) for 96 fibres.,UNIT,40252.42,,,
174,INS-005101,Fibre Heat Shrink,UNIT,10,,,
329,TOL-17178,FIS pulling eye kit,UNIT,1940.9,,,
183,INS-80033,Fisher [pegs and wooden screws,UNIT,150,,,
195,INS-80063,Fisher Pegs,UNIT,200,,,
321,TOL-17110,FOSC-450D6-2-NT-0-D-NN,UNIT,27203.92,,,
331,TOL-17201,FOSC-D-TRAY-S96-1,UNIT,8196.28,,,
255,PSU-50059,FP2 Rectifier Modules 48V/2Kw,UNIT,75176.75,,,
332,TOL-17205,FUJIKURA CLEAVER BLADE,UNIT,26000,,,
295,TOL-17069,Fully loaded SC/APC left termination modules with,UNIT,723824.2,,,
292,TOL-17066,Fully loaded SC/APC right termination modules with,UNIT,723824.2,,,
254,PSU-50046,FURSE,UNIT,55377.72,,,
135,CIS-60027,GLC-LH-SM,UNIT,9401.83,,,
137,CIS-60044,GLC-SX-MM,UNIT,4217.38,,,
22,BST-13052,GPLT16 ROW(Y33441),UNIT,1184869.92,,,
29,BST-13072,GPLT8 ROW(Y33441),UNIT,1806586.93,,,
23,BST-13053,GPON SFP Class B+(Y33369),UNIT,54300.01,,,
219,INS-80119,GP-Y (FTTH Wall Box),UNIT,353.73,,,
239,OFE00087,GRANDSTREAM GXE 5028,UNIT,136629,,,
277,TEL-100024,GRANDSTREAM GXP2160,UNIT,64000,,,
164,CPE-14020,Grandstream handytone 704,UNIT,12933.5,,,
282,TEL-8000,GXP 1625,UNIT,24745.5,,,
280,TEL-10031,GXV3611_HD IP VIDEO,UNIT,16082.56,,,
281,TEL-10032,GXV3615WP_HD,UNIT,13268.12,,,
349,TOL-1789,GXW-4104,UNIT,117615.43,,,
279,TEL-10029,GXW4224,UNIT,81417.98,,,
236,OFE-00074,HARD DISK DRIVE,UNIT,68500,,,
75,CAB-70092,Hardened Drop Cables 100m,UNIT,21446.42,,,
81,CAB-70099,Hardened Drop Cables 110m,UNIT,22413.59,,,
74,CAB-70091,Hardened Drop Cables 120m,UNIT,23704.66,,,
80,CAB-70097,Hardened Drop Cables 130m,UNIT,24669.54,,,
79,CAB-70096,Hardened Drop Cables 140m,UNIT,25638.99,,,
78,CAB-70095,Hardened Drop Cables 50m,UNIT,12614.2,,,
83,CAB-70101,Hardened Drop Cables 60m,UNIT,13743.32,,,
77,CAB-70094,Hardened Drop Cables 70m,UNIT,14833.66,,,
76,CAB-70093,Hardened Drop Cables 80m,UNIT,15962.78,,,
82,CAB-70100,Hardened Drop Cables 90m,UNIT,20476.98,,,
32,BST-13078,HBNI-SF ROW,UNIT,51951.29,,,
26,BST-13065,HBSF ROW(Y33446),UNIT,555781.55,,,
341,TOL-17300,HEADSET,UNIT,10500,,,
2,ANT-10O40,Horizon Compact 400,HP,13 GHz Band 2,Copper 100/10,UNIT,1355146.5
297,TOL-17071,"Horizontal straight section; 6' long, cover sold s",UNIT,30657.3,,,
228,OFE 00275,HP 49A toner,UNIT,13500,,,
230,OFE 00349,HP 53A toner,UNIT,14700,,,
227,OFE 00170,HP 78A Toner,UNIT,10075.5,,,
247,OFE-00257,HP Toner ( 85A),UNIT,14055.56,,,
226,OFE 00123,HP Toner(36A),UNIT,12000,,,
139,CIS-60054,HWIC-1GE-SFP,UNIT,155600,,,
176,INS-80001,insulation tape,UNIT,80,,,
287,TOL-17061,Interconnect patchcord storage module left 200mm w,UNIT,147823.37,,,
288,TOL-17062,Interconnect patchcord storage module right 200 mm,UNIT,147823.37,,,
265,RAD-20104,IP 10-N-N - IP-10 IDU Ethernet Only,UNIT,411140.69,,,
298,TOL-17072,Junction kit,UNIT,3346.3,,,
243,OFE-001200,Labelling machine,UNIT,106547,,,
360,TOL-1930,LAN TESTER,UNIT,2500,,,
103,CAB-70125,LC-LC PATCH CORD,UNIT,2496.32,,,
242,OFE-001125,"LG 42"" LED Television",UNIT,170000,,,
150,CIS-60122,Linksys RE 1000,UNIT,19000,,,
122,CIS 18070,Linksys SPA2102,UNIT,7489.56,,,
59,CAB-70037,LMR 240-1-60,UNIT,28526.92,,,
273,RAD-20173,LMR gas tube surge protector N female to male,UNIT,268117.44,,,
57,CAB-70025,LMR400 Cable,UNIT,258.51,,,
206,INS-80099,"L-shaped 1.5"" bracket",UNIT,3500,,,
207,INS-80100,"L-shaped 2"" bracket",UNIT,8090.91,,,
342,TOL-1764,Media Converter,UNIT,28000,,,
270,RAD-20130,Mikrotik RB/450G,UNIT,29500,,,
271,RAD-20161,MIKROTIK-RB951U1-2HnD,UNIT,27437.5,,,
338,TOL-17236,MST-08XX0J-A0010UM,UNIT,36730.66,,,
337,TOL-17235,MST-08XX0J-A0350UM,UNIT,88231.18,,,
336,TOL-17234,MST-08XX0J-A0500UM,UNIT,108052.04,,,
