,time,tweets
0,Mon Sep 28 13:32:35 +0000 2020,"RT @eliehonig: So there is an IRS audit, after all (which of course in no way prevents Trump from disclosing his tax returns).

And it rela…"
1,Mon Sep 28 13:32:35 +0000 2020,"RT @olivier_patti: Joe Biden releases tax returns during 2020 Democratic primary https://t.co/RCo2bKQiBR
And they Openly..Honestly..
PAID T…"
2,Mon Sep 28 13:32:35 +0000 2020,RT @DrBarryVet: @mlcalderone @deanbaquet They only proved that Trump is an active investor in large capital projects that creates hundreds…
3,Mon Sep 28 13:32:35 +0000 2020,"RT @_chrisgarcia: In 2017, Trump paid $750 in taxes. That same year undocumented immigrants paid over 27 Billion. Remind me, who’s the burd…"
4,Mon Sep 28 13:32:35 +0000 2020,"RT @erinrileyau: In the United States, teachers can only deduct up to $250 a year of the money they personally spend on school supplies, de…"
5,Mon Sep 28 13:32:35 +0000 2020,"RT @TX_WalkerRanger: Hunter Biden was wired 3.5 million from Russia. 

Gavin Newsom was recently ‘gifted’ a 3.7 million dollar mansion. 

T…"
6,Mon Sep 28 13:32:35 +0000 2020,RT @EricTrump: We love you Texas! 🇺🇸🇺🇸🇺🇸
7,Mon Sep 28 13:32:35 +0000 2020,"Maybe she turned out to be the leak for all these shit show, who knows, like father like daughter, it’s all about s… https://t.co/A5V6I3j9IY"
8,Mon Sep 28 13:32:35 +0000 2020,"RT @thebradfordfile: Trump isn't running against Biden.

He's running against voter fraud."
9,Mon Sep 28 13:32:35 +0000 2020,"RT @haveigotnews: As it’s revealed Donald Trump went 10 years without paying income tax, experts say it would be hugely embarrassing if thi…"
10,Mon Sep 28 13:32:35 +0000 2020,"RT @TeamJoe: Teachers paid $7,239
Firefighters paid $5,283
Nurses paid $10,216

Donald Trump paid $750 https://t.co/5YE1cbYsBN"
11,Mon Sep 28 13:32:35 +0000 2020,"RT @HKrassenstein: BREAKING: Donald Trump paid only $750 in taxes in 2016 and 2017.  Now we know why he can’t release his tax returns.

Rai…"
12,Mon Sep 28 13:32:35 +0000 2020,"RT @oppenheimera: Trump dice, sin evidencias serias, que las elecciones del 3 de noviembre serán “amañadas” por los demócratas. Y cuando le…"
13,Mon Sep 28 13:32:35 +0000 2020,RT @HorsleyScott: There are 2 possible ways to read this story — neither flattering for the president. Either Trump is a spectacularly unsu…
14,Mon Sep 28 13:32:35 +0000 2020,RT @acnewsitics: You can’t be a decent person and support Donald Trump.
15,Mon Sep 28 13:32:35 +0000 2020,RT @ASimplePatriot: He took legal deductions. Cry more.
16,Mon Sep 28 13:32:35 +0000 2020,RT @BerzerkerBuilds: Hey @realDonaldTrump !  @charliekirk11 is saying that the information is true and accurate and not fake news!
17,Mon Sep 28 13:32:35 +0000 2020,"RT @alexthechick: Also, I'm going to post this one more time for those in the back.  Trump paid $1 million in taxes in 2016 and $4.2 millio…"
18,Mon Sep 28 13:32:35 +0000 2020,"RT @r_CallofDuty: Literally Donald John Trump mocking and dominating the corrupt establishment in Washington D.C. 😎 
🥳😆🥰#TRUMP2020🥰😆🥳 https…"
19,Mon Sep 28 13:32:35 +0000 2020,"RT @GOP: President Trump is bringing meaningful reform to health care that led to the FIRST drop in prescription drug costs in 45 years.

H…"
20,Mon Sep 28 13:32:35 +0000 2020,"RT @paulcshipley: Campaign Legal Center, a nonpartisan watchdog group, filed a complaint with Federal Elections Commission accusing Trump c…"
21,Mon Sep 28 13:32:35 +0000 2020,"@catturd2 @bandasaul9544 Believe me, Trump won’t have the last laugh. (Unless he is laughing from prison)"
22,Mon Sep 28 13:32:35 +0000 2020,RT @AreYouAwakeYet3: Prayer need. 🙏🙏🙏 https://t.co/V1aNwnoWTq
23,Mon Sep 28 13:32:35 +0000 2020,RT @RBReich: Donald Trump isn’t alone. The richest 1% of Americans is responsible for 70% of all unpaid taxes.
24,Mon Sep 28 13:32:35 +0000 2020,"RT @RepDonBeyer: Yes, Donald Trump is a freeloader who has no idea what the struggles of working people are like, but he is also making thi…"
25,Mon Sep 28 13:32:35 +0000 2020,👀
26,Mon Sep 28 13:32:35 +0000 2020,RT @UROCKlive1: @MariaBartiromo @SundayFutures @FoxNews @MorningsMaria @FoxBusiness Well that makes sense since the FBI are not the bad guy…
27,Mon Sep 28 13:32:35 +0000 2020,"RT @Carolicek: Les llegó al alma que Trump redujera a @JuanManSantos a un lacayo de narcos como de hecho es.

El hombre más poderoso del mu…"
28,Mon Sep 28 13:32:35 +0000 2020,"RT @RBReich: So let me get this straight: while Trump has been railing against immigrants for being a drain on America, he’s only been payi…"
29,Mon Sep 28 13:32:35 +0000 2020,RT @corymassimino: tbf giving your money to sex workers is infinitely better than giving your money to the government
30,Mon Sep 28 13:32:35 +0000 2020,RT @intheMatrixxx: Did Hunter Biden pay taxes on the money the Biden Family raped from America?
31,Mon Sep 28 13:32:35 +0000 2020,Trump doesn't pay his taxes trump doesn't give Americans stimulus
32,Mon Sep 28 13:32:35 +0000 2020,"RT @ananavarro: Trump wants to, needs to, remain President to try to avoid prosecution on tax fraud. No wonder he is refusing to commit to…"
