funder_name,city,state,country,value_granted,no_of_grants
Jack Dorsey,San Francisco,CA,United States,$1 Billion,1
Google.Org Contributions Program,Mountain View,CA,United States,$957.8 Million,16
Bill & Melinda Gates Foundation,Seattle,WA,United States,$305 Million,5
Itau Unibanco Holding S.A.,Sao Paulo,,Brazil,$239.8 Million,1
Visa Foundation,San Francisco,CA,United States,$210 Million,2
Royal Holding Al Mada,Casablanca,,Morocco,$197.9 Million,1
Wells Fargo Foundation,Minneapolis,MN,United States,$182 Million,5
Tencent Holdings,Shenzhen,,China,$173 Million,2
Alibaba Group,Hangzhou,,China,$144.2 Million,1
Azim Premji Foundation,Bangalore,,India,$130.6 Million,1
Open Society Foundations,New York City,NY,United States,$130 Million,1
The Barclays Foundation,London,,United Kingdom,$125.8 Million,1
"Facebook, Inc. Contributions Program",Menlo Park,CA,United States,$122 Million,7
Bank of America Corporation Contributions Program,Charlotte,NC,United States,$111.5 Million,6
Assicurazioni Generali S.P.A.,Trieste,,Italy,$110.1 Million,1
Intesa Sanpaolo S.P.A.,Turin,,Italy,$110.1 Million,1
The Robert Wood Johnson Foundation,Princeton,NJ,United States,$100.8 Million,40
Michael & Susan Dell Foundation,Austin,TX,United States,$100 Million,2
Blue Meridian Partners Inc.,New York City,NY,United States,$100 Million,1
Jeff Skoll,Palo Alto,CA,United States,$100 Million,1
Netflix,Los Gatos,CA,United States,$100 Million,1
Warnermedia Corporate Giving Program,New York City,NY,United States,$100 Million,1
Vale S.A.,Rio De Janeiro,,Brazil,$96.2 Million,1
Naspers Limited,Cape Town,,South Africa,$83.4 Million,2
Squirrel Ai Learning,Shanghai,,China,$73.5 Million,2
Lilly Endowment Inc.,Indianapolis,IN,United States,$69.5 Million,6
Wellcome Trust,London,,England,$64.9 Million,2
Microsoft Corporation Contributions Program,Redmond,WA,United States,$61.9 Million,5
Johann Rupert,Somerset West,,South Africa,$55.6 Million,1
Mary Oppenheimer,Johannesburg,,South Africa,$55.6 Million,1
Motsepe Family Foundation,Sandton,,South Africa,$55.6 Million,1
Nicky Oppenheimer,Johannesburg,,South Africa,$55.6 Million,1
"Community Foundation for Greater Atlanta, Inc.",Atlanta,GA,United States,$55.1 Million,319
Bnp Paribas Usa,New York City,NY,United States,$55 Million,1
"Albertsons Companies, Inc. Contributions Program",Boise,ID,United States,$53 Million,1
Cogna Educacao S.A.,Belo Horizonte,,Brazil,$51.3 Million,1
Jpmorgan Chase & Co. Contributions Program,New York City,NY,United States,$51 Million,2
"The Humana Foundation, Inc.",Louisville,KY,United States,$50.5 Million,3
"Bloomberg Philanthropies, Inc.",New York City,NY,United States,$50.5 Million,2
"Blackrock, Inc. Contributions Program",New York City,NY,United States,$50 Million,1
Lego Fonden,Billund,,Denmark,$50 Million,1
New York Life Foundation,New York City,NY,United States,$50 Million,1
Otto Bremer Trust,Saint Paul,MN,United States,$50 Million,1
Razer Inc.,Singapore,,Singapore,$50 Million,1
"Pepsico, Inc. Corporate Giving Program",Purchase,NY,United States,$45 Million,1
Tencent Charity Foundation,Shenzhen,,China,$43.3 Million,1
Carlos Slim Foundation,Mexico City,,Mexico,$42 Million,1
Pfizer Inc. Corporate Giving Program,New York City,NY,United States,$40 Million,1
Fundacion Mapfre,Madrid,,Spain,$38.2 Million,3
The Omidyar Group,Honolulu,HI,United States,$37 Million,3
Abbvie Inc. Contributions Program,North Chicago,IL,United States,$36.4 Million,2
Citigroup Inc. Corporate Giving Program,New York City,NY,United States,$36 Million,2
"Amazon.Com, Inc. Contributions Program",Seattle,WA,United States,$33 Million,9
T J Morris Limited,Liverpool,,United Kingdom,$32.9 Million,1
Robert W. Woodruff Foundation,Atlanta,GA,United States,$31.3 Million,6
Alwaleed Philanthropies,Riyadh,,Saudi Arabia,$30 Million,10
The Pnc Foundation,Pittsburgh,PA,United States,$30 Million,2
U.S. Bank N.A. Corporate Giving Program,Saint Paul,MN,United States,$30 Million,1
Samsung Group Corporate Giving Program,Seoul,,South Korea,$29.7 Million,2
Citi Foundation,New York City,NY,United States,$29.5 Million,5
"Qurate Retail, Inc.",Englewood,CO,United States,$29 Million,1
Country Garden Holdings Company,Foshan,,China,$28.8 Million,1
Meituan Dianping,Beijing,,China,$28.8 Million,1
Zhejiang Geely Holding Group Co.,Hangzhou,,China,$28.8 Million,1
"Banco Bilbao Vizcaya Argentaria, S.A.",Bilbao,,Spain,$27.9 Million,1
Metlife Foundation,New York City,NY,United States,$26 Million,2
The James Irvine Foundation,San Francisco,CA,United States,$25.6 Million,57
Cigna Foundation,Philadelphia,PA,United States,$25.3 Million,3
Truist Financial Corporation Contributions Program,Winston-Salem,NC,United States,$25.3 Million,4
Morgan Stanley Corporate Giving Program,New York City,NY,United States,$25 Million,5
Avast Foundation,Prague,,Czech Republic,$25 Million,3
Lam Research Corporation Contributions Program,Fremont,CA,United States,$25 Million,1
"Merck & Co., Inc. Contributions Program",Kenilworth,NJ,United States,$23.4 Million,4
Snam S.P.A.,San Donato Milanese,,Italy,$22 Million,1
Conrad N. Hilton Foundation,Agoura Hills,CA,United States,$21.2 Million,21
The Ups Foundation,Atlanta,GA,United States,$21 Million,2
"Mars, Incorporated, Contributions Program",Mclean,VA,United States,$20 Million,4
Novartis Ag,Basel,,Switzerland,$20 Million,1
Richard King Mellon Foundation,Pittsburgh,PA,United States,$19.2 Million,46
