,Job Title,Rating,Company Name,Location,Headquarters,Founded,Sector,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,is_headquarter,age,python_yn,spark_yn,aws_yn,gcp_yn,azure_yn,java_yn,tableau_yn,powerbi_yn,excel_yn,job_spec
0,Data Scientist,3.8,Tecolote Research,"Albuquerque, NM","Goleta, CA",1973,Aerospace & Defense,0,0,53,91,72.0, NM,0,47,1,0,0,1,0,0,1,1,1,data scientist
1,Healthcare Data Scientist,3.4,University of Maryland Medical System,"Linthicum, MD","Baltimore, MD",1984,Health Care,0,0,63,112,87.5, MD,0,36,1,0,0,1,0,1,0,0,0,data scientist
2,Data Scientist,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",2010,Business Services,0,0,80,90,85.0, FL,1,10,1,1,0,1,0,0,0,0,1,data scientist
3,Data Scientist,3.8,PNNL,"Richland, WA","Richland, WA",1965,"Oil, Gas, Energy & Utilities",0,0,56,97,76.5, WA,1,55,1,0,0,1,0,0,0,0,0,data scientist
4,Data Scientist,2.9,Affinity Solutions,"New York, NY","New York, NY",1998,Business Services,0,0,86,143,114.5, NY,1,22,1,0,0,1,0,0,0,0,1,data scientist
5,Data Scientist,3.4,CyrusOne,"Dallas, TX","Dallas, TX",2000,Real Estate,0,0,71,119,95.0, TX,1,20,1,0,1,1,1,0,0,1,1,data scientist
6,Data Scientist,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",2008,Finance,0,0,54,93,73.5, MD,1,12,0,0,0,1,0,0,0,0,1,data scientist
7,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",2005,Business Services,0,0,86,142,114.0, CA,0,15,1,1,1,1,0,0,0,0,1,data scientist
8,Research Scientist,3.3,Rochester Regional Health,"Rochester, NY","Rochester, NY",2014,Health Care,0,0,38,84,61.0, NY,1,6,0,0,0,1,0,0,0,0,0,n
9,Data Scientist,4.6,<intent>,"New York, NY","New York, NY",2009,Information Technology,0,0,120,160,140.0, NY,1,11,1,1,0,1,0,1,0,0,0,data scientist
10,Data Scientist,3.5,Wish,"San Jose, CA","San Francisco, CA",2011,Retail,0,0,126,201,163.5, CA,0,9,1,0,0,1,0,0,0,0,0,data scientist
11,Data Scientist,4.1,ManTech,"Chantilly, VA","Herndon, VA",1968,Business Services,0,0,64,106,85.0, VA,0,52,0,0,0,1,0,0,0,0,0,data scientist
12,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",1962,Retail,0,0,106,172,139.0, TX,0,58,0,0,0,1,0,0,0,0,0,data scientist
13,Data Analyst,4.1,Yesler,"Seattle, WA","Seattle, WA",2012,Business Services,0,0,46,85,65.5, WA,1,8,1,1,1,1,1,0,1,1,1,data analyst
14,Data Scientist,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",1781,Biotech & Pharmaceuticals,0,0,83,144,113.5, MA,0,239,1,1,0,1,0,1,0,0,0,data scientist
15,Data Engineer I,3.6,Audible,"Newark, NJ","Newark, NJ",1995,Media,0,0,102,190,146.0, NJ,1,25,0,0,0,1,0,0,0,0,1,data engineer
16,"Scientist I/II, Biology",3.9,Blueprint Medicines,"Cambridge, MA","Cambridge, MA",2011,Biotech & Pharmaceuticals,0,0,67,137,102.0, MA,1,9,0,0,0,1,0,0,0,0,1,n
17,Customer Data Scientist,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",2011,Information Technology,0,0,118,189,153.5, CA,1,9,1,1,1,1,1,0,0,0,1,data scientist
18,Data Scientist - Health Data Analytics,4.2,Nuna,"San Francisco, CA","San Francisco, CA",2010,Information Technology,0,0,110,175,142.5, CA,1,10,0,0,0,1,0,0,0,0,0,data scientist
19,Data Scientist,4.0,Pinnacol Assurance,"Denver, CO","Denver, CO",1915,Insurance,0,0,64,111,87.5, CO,1,105,1,0,0,1,0,0,0,0,1,data scientist
