Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Population,Continent
North America,7324627.0,17024.0,270687.0,512.0,4207371.0,2846569.0,20074.0,0.0,0.0,NorthAmerica
South America,6246073.0,2366.0,201250.0,114.0,4842836.0,1201987.0,15210.0,0.0,0.0,SouthAmerica
Asia,7070574.0,78154.0,142323.0,1156.0,5673298.0,1254953.0,18844.0,0.0,0.0,Asia
Europe,3570835.0,15217.0,207600.0,221.0,2070376.0,1292859.0,5688.0,0.0,0.0,Europe
Africa,1251274.0,899.0,29646.0,10.0,980380.0,241248.0,1270.0,0.0,0.0,Africa
Oceania,28476.0,85.0,681.0,41.0,23415.0,4380.0,41.0,0.0,0.0,AustraliaOceania
Others,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,Others
World,25492580.0,113745.0,852202.0,2054.0,17798327.0,6842051.0,61131.0,0.0,0.0,All
USA,6185243.0,12007.0,187376.0,152.0,3429638.0,2568229.0,15991.0,81944043.0,331325170.0,NorthAmerica
Brazil,3862311.0,0.0,120896.0,0.0,3031559.0,709856.0,8318.0,14352484.0,212809620.0,SouthAmerica
India,3679411.0,60242.0,65404.0,787.0,2832738.0,781269.0,8944.0,42307914.0,1382233964.0,Asia
Russia,995319.0,4993.0,17176.0,83.0,809387.0,168756.0,2300.0,36696382.0,145945013.0,Europe
Peru,647166.0,0.0,28788.0,0.0,455457.0,162921.0,1514.0,3191850.0,33046445.0,SouthAmerica
South Africa,625056.0,0.0,14028.0,0.0,538604.0,72424.0,539.0,3674872.0,59430596.0,Africa
Colombia,607938.0,0.0,19364.0,0.0,450621.0,137953.0,1493.0,2715591.0,50971805.0,SouthAmerica
Mexico,595841.0,4129.0,64158.0,339.0,412580.0,119103.0,3060.0,1340466.0,129154932.0,NorthAmerica
Spain,455621.0,0.0,29011.0,0.0,0.0,0.0,751.0,9210337.0,46757832.0,Europe
Chile,411726.0,1752.0,11289.0,45.0,383879.0,16558.0,969.0,2400522.0,19143261.0,SouthAmerica
Argentina,408426.0,0.0,8498.0,41.0,301195.0,98733.0,2232.0,1257906.0,45264053.0,SouthAmerica
Iran,375212.0,1642.0,21571.0,109.0,323233.0,30408.0,3729.0,3231110.0,84168117.0,Asia
UK,335873.0,1406.0,41501.0,2.0,0.0,0.0,60.0,16273209.0,67945365.0,Europe
Saudi Arabia,315772.0,951.0,3897.0,27.0,290796.0,21079.0,1552.0,5026127.0,34901495.0,Asia
Bangladesh,312996.0,2174.0,4281.0,33.0,204887.0,103828.0,0.0,1550203.0,164958910.0,Asia
Pakistan,295849.0,213.0,6294.0,6.0,280682.0,8873.0,604.0,2621146.0,221577570.0,Asia
France,277943.0,0.0,30606.0,0.0,86177.0,161160.0,402.0,6323472.0,65297750.0,Europe
Turkey,270133.0,1587.0,6370.0,44.0,244926.0,18837.0,961.0,7138492.0,84487808.0,Asia
Italy,269214.0,996.0,35483.0,6.0,207653.0,26078.0,94.0,8644859.0,60446761.0,Europe
Germany,244530.0,1235.0,9370.0,6.0,217842.0,17318.0,245.0,11208091.0,83828781.0,Europe
Iraq,231177.0,0.0,6959.0,0.0,172880.0,51338.0,542.0,1587326.0,40365355.0,Asia
Philippines,220819.0,3446.0,3558.0,38.0,157562.0,59699.0,837.0,2591819.0,109818368.0,Asia
Indonesia,174796.0,2743.0,7417.0,74.0,125959.0,41420.0,0.0,2224337.0,273997911.0,Asia
Canada,127940.0,0.0,9117.0,0.0,113664.0,5159.0,50.0,5440447.0,37796697.0,NorthAmerica
Ukraine,121215.0,2141.0,2557.0,30.0,57114.0,61544.0,177.0,1550280.0,43688720.0,Europe
Qatar,118778.0,203.0,197.0,0.0,115667.0,2914.0,68.0,629831.0,2807805.0,Asia
